Compound,SMILES,%Emax cAMP accumulation,%Emax  dopamine induced cAMP accumulation,%Emax b-arrestin accumulation,%Emax  dopamine induced b-arrestin recruitment,hD1R Docking Score
DUSBI-C5,COc1cn(-c2ccccc2)nc1C(=O)N[C@@H]1C[C@H]1c1cccc(F)c1,0,45,82,190,-6.455
DUSBI-A3,NC(=O)CCn1cc(-c2cccc(OCc3ccccc3Cl)c2)cn1,0,53,33,149,-6.044
